problem,method,converged,f_best,quality_success,iterations,time_sec,func_calls,peak_memory_kib,run
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.013574899989180267,1814,6.58203125,9
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.01552130002528429,1814,6.58203125,10
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.015050900052301586,1814,6.58203125,11
desmos_round_sin,simulated_annealing,False,0.43631570277086834,,2471,0.737413699971512,2472,27.23046875,0
desmos_round_sin,simulated_annealing,False,0.0792867766076918,,2471,0.656658299965784,2472,27.046875,1
desmos_round_sin,simulated_annealing,False,0.1286709492585418,,2471,0.6490297999698669,2472,27.04296875,2
desmos_round_sin,simulated_annealing,False,0.06271511851475783,,2471,1.0042627999791875,2472,27.046875,3
desmos_round_sin,simulated_annealing,False,0.4122400281110873,,2471,0.8203150000190362,2472,27.109375,4
desmos_round_sin,simulated_annealing,False,0.0742063868077981,,2471,0.8882482999470085,2472,27.1640625,5
desmos_round_sin,simulated_annealing,False,0.5846800044913,,2471,0.8934278000378981,2472,27.171875,6
desmos_round_sin,simulated_annealing,False,0.32014178286132056,,2471,0.9239179999567568,2472,27.171875,7
desmos_round_sin,simulated_annealing,False,0.24014876188263842,,2471,0.8996295999968424,2472,27.140625,8
desmos_round_sin,simulated_annealing,False,0.32640114606652976,,2471,0.7609268999658525,2472,27.140625,9
desmos_round_sin,simulated_annealing,False,0.09390761875367958,,2471,0.7403176999650896,2472,27.1953125,10
desmos_round_sin,simulated_annealing,False,0.09040267865622026,,2471,0.669318399974145,2472,27.140625,11
desmos_round_sin,differential_evolution,True,0.815902779275772,,69,0.8086688000475988,2450,11.6513671875,0
desmos_round_sin,differential_evolution,True,0.16710208034675897,,61,0.6732276999391615,2170,10.5263671875,1
desmos_round_sin,differential_evolution,True,0.8079823811187543,,60,0.8914408000418916,2135,10.5654296875,2
desmos_round_sin,differential_evolution,True,0.4845632193881558,,66,0.8664105000207201,2345,10.6513671875,3
desmos_round_sin,differential_evolution,True,0.6996239314925673,,33,0.5123562000226229,1190,10.3466796875,4
desmos_round_sin,differential_evolution,True,0.5090734115464018,,59,0.9586329999146983,2100,10.5224609375,5
desmos_round_sin,differential_evolution,True,0.262060122913688,,68,0.9061499999370426,2415,10.6201171875,6
